"Plot Title: FCR20_20250421_2"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2407064, SEN S/N: 2407064)","Good Battery (LGR S/N: 2407064)","Bad Battery (LGR S/N: 2407064)","Coupler Attached (LGR S/N: 2407064)","Coupler Detached (LGR S/N: 2407064)","Host Connected (LGR S/N: 2407064)","Stopped (LGR S/N: 2407064)","End Of File (LGR S/N: 2407064)"
153,04/22/25 03:10:00 PM,10.846,,,,,,,
154,04/22/25 03:20:00 PM,10.846,,,,,,,
155,04/22/25 03:30:00 PM,10.846,,,,,,,
156,04/22/25 03:40:00 PM,10.846,,,,,,,
157,04/22/25 03:50:00 PM,10.846,,,,,,,
158,04/22/25 04:00:00 PM,10.846,,,,,,,
159,04/22/25 04:10:00 PM,10.944,,,,,,,
160,04/22/25 04:20:00 PM,10.944,,,,,,,
161,04/22/25 04:30:00 PM,10.846,,,,,,,
162,04/22/25 04:40:00 PM,10.846,,,,,,,
163,04/22/25 04:50:00 PM,10.846,,,,,,,
164,04/22/25 05:00:00 PM,10.846,,,,,,,
165,04/22/25 05:10:00 PM,10.846,,,,,,,
166,04/22/25 05:20:00 PM,10.846,,,,,,,
167,04/22/25 05:30:00 PM,10.846,,,,,,,
168,04/22/25 05:40:00 PM,10.846,,,,,,,
169,04/22/25 05:50:00 PM,10.846,,,,,,,
170,04/22/25 06:00:00 PM,10.846,,,,,,,
171,04/22/25 06:10:00 PM,10.846,,,,,,,
172,04/22/25 06:20:00 PM,10.846,,,,,,,
173,04/22/25 06:30:00 PM,10.846,,,,,,,
174,04/22/25 06:40:00 PM,10.846,,,,,,,
175,04/22/25 06:50:00 PM,10.846,,,,,,,
176,04/22/25 07:00:00 PM,10.846,,,,,,,
177,04/22/25 07:10:00 PM,10.846,,,,,,,
178,04/22/25 07:20:00 PM,10.846,,,,,,,
179,04/22/25 07:30:00 PM,10.846,,,,,,,
180,04/22/25 07:40:00 PM,10.846,,,,,,,
181,04/22/25 07:50:00 PM,10.846,,,,,,,
182,04/22/25 08:00:00 PM,10.846,,,,,,,
183,04/22/25 08:10:00 PM,10.846,,,,,,,
184,04/22/25 08:20:00 PM,10.846,,,,,,,
185,04/22/25 08:30:00 PM,10.846,,,,,,,
186,04/22/25 08:40:00 PM,10.846,,,,,,,
187,04/22/25 08:50:00 PM,10.846,,,,,,,
188,04/22/25 09:00:00 PM,10.846,,,,,,,
189,04/22/25 09:10:00 PM,10.846,,,,,,,
190,04/22/25 09:20:00 PM,10.846,,,,,,,
191,04/22/25 09:30:00 PM,10.846,,,,,,,
192,04/22/25 09:40:00 PM,10.846,,,,,,,
193,04/22/25 09:50:00 PM,10.846,,,,,,,
194,04/22/25 10:00:00 PM,10.846,,,,,,,
195,04/22/25 10:10:00 PM,10.846,,,,,,,
196,04/22/25 10:20:00 PM,10.846,,,,,,,
197,04/22/25 10:30:00 PM,10.846,,,,,,,
198,04/22/25 10:40:00 PM,10.846,,,,,,,
199,04/22/25 10:50:00 PM,10.846,,,,,,,
200,04/22/25 11:00:00 PM,10.846,,,,,,,
201,04/22/25 11:10:00 PM,10.846,,,,,,,
202,04/22/25 11:20:00 PM,10.846,,,,,,,
203,04/22/25 11:30:00 PM,10.846,,,,,,,
204,04/22/25 11:40:00 PM,10.846,,,,,,,
205,04/22/25 11:50:00 PM,10.846,,,,,,,
206,04/23/25 12:00:00 AM,10.846,,,,,,,
207,04/23/25 12:10:00 AM,10.846,,,,,,,
208,04/23/25 12:20:00 AM,10.846,,,,,,,
209,04/23/25 12:30:00 AM,10.846,,,,,,,
210,04/23/25 12:40:00 AM,10.846,,,,,,,
211,04/23/25 12:50:00 AM,10.846,,,,,,,
212,04/23/25 01:00:00 AM,10.846,,,,,,,
213,04/23/25 01:10:00 AM,10.846,,,,,,,
214,04/23/25 01:20:00 AM,10.846,,,,,,,
215,04/23/25 01:30:00 AM,10.846,,,,,,,
216,04/23/25 01:40:00 AM,10.846,,,,,,,
217,04/23/25 01:50:00 AM,10.846,,,,,,,
218,04/23/25 02:00:00 AM,10.846,,,,,,,
219,04/23/25 02:10:00 AM,10.846,,,,,,,
220,04/23/25 02:20:00 AM,10.846,,,,,,,
221,04/23/25 02:30:00 AM,10.846,,,,,,,
222,04/23/25 02:40:00 AM,10.846,,,,,,,
223,04/23/25 02:50:00 AM,10.846,,,,,,,
224,04/23/25 03:00:00 AM,10.846,,,,,,,
225,04/23/25 03:10:00 AM,10.846,,,,,,,
226,04/23/25 03:20:00 AM,10.846,,,,,,,
227,04/23/25 03:30:00 AM,10.846,,,,,,,
228,04/23/25 03:40:00 AM,10.846,,,,,,,
229,04/23/25 03:50:00 AM,10.846,,,,,,,
230,04/23/25 04:00:00 AM,10.846,,,,,,,
231,04/23/25 04:10:00 AM,10.846,,,,,,,
232,04/23/25 04:20:00 AM,10.846,,,,,,,
233,04/23/25 04:30:00 AM,10.846,,,,,,,
234,04/23/25 04:40:00 AM,10.846,,,,,,,
235,04/23/25 04:50:00 AM,10.846,,,,,,,
236,04/23/25 05:00:00 AM,10.846,,,,,,,
237,04/23/25 05:10:00 AM,10.846,,,,,,,
238,04/23/25 05:20:00 AM,10.846,,,,,,,
239,04/23/25 05:30:00 AM,10.846,,,,,,,
240,04/23/25 05:40:00 AM,10.846,,,,,,,
241,04/23/25 05:50:00 AM,10.846,,,,,,,
242,04/23/25 06:00:00 AM,10.846,,,,,,,
243,04/23/25 06:10:00 AM,10.846,,,,,,,
244,04/23/25 06:20:00 AM,10.846,,,,,,,
245,04/23/25 06:30:00 AM,10.846,,,,,,,
