"TOA5","CR6Series_BVRplatform","CR6","13030","CR6.Std.10.02 CR6-WIFI.05","CPU:BVR_Platform_wind_20250320.CR6","23357","bvre-waterquality"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","doobs_6","dosat_6","dotemp_6","doobs_13","dosat_13","dotemp_13","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","Turbidity_FNU_1","TSS_mgL_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_13"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-12-01 12:00:00",36280,14.29,6.826,"NAN","NAN",7.997827,12.01318,8.060266,9.079889,7.402124,4.602655,4.409265,4.387933,4.398614,4.350336,4.307977,11.56046,89.51332,4.565254,11.79079,90.86786,4.384773,251201,125346,4.55,30.71,50.39,32.75,87.93,11.36,0.58,1.76,1.77,1.08,3.96,11.82,18.78,0,2.62,1.845,5.93,12.71,1.2,8.540978,4.382299
"2025-12-01 12:10:00",36281,14.3,7.335,"NAN","NAN",6.915552,13.63891,8.307825,6.98855,5.447443,4.619867,4.441705,4.421808,4.384881,4.359704,4.31878,11.51227,89.19391,4.588486,11.776,90.76306,4.388641,251201,130346,4.581,30.67,50.28,32.68,89.02,11.49,0.54,1.59,1.79,1.1,3.96,11.83,18.64,0,2.62,1.843,5.94,12.7,1.2,8.538047,4.393465
"2025-12-01 12:20:00",36282,14.3,7.753,"NAN","NAN",9.122705,11.57385,8.613947,9.994532,8.625177,4.669824,4.471704,4.429712,4.40896,4.374261,4.327966,11.53577,89.43006,4.611702,11.78814,90.85704,4.388809,251201,131346,4.678,30.79,50.33,32.71,89.19,11.49,0.58,1.74,1.77,1.08,3.96,11.84,19.02,0,2.61,1.838,5.93,12.7,1.2,8.536744,4.397341
"2025-12-01 12:30:00",36283,14.29,8.07,"NAN","NAN",7.03927,7.105676,5.963251,6.484949,5.999689,4.661584,4.454523,4.435266,4.421472,4.378961,4.333673,11.76699,91.26103,4.627914,11.82198,91.14134,4.398689,251201,132346,4.624,30.71,50.28,32.68,89.38,11.53,0.52,1.52,1.76,1.08,3.96,11.83,19.12,0,2.61,1.835,5.93,12.7,1.2,8.532808,4.410217
"2025-12-01 12:40:00",36284,14.22,8.37,"NAN","NAN",6.015771,5.709527,4.706567,5.228387,4.955743,4.718591,4.45022,4.445154,4.412042,4.388971,4.347833,11.80396,91.5692,4.636932,11.79936,90.98851,4.407738,251201,133346,4.617,30.71,50.29,32.69,86.73,11.19,0.68,2.1,1.85,1.16,3.96,11.83,18.46,0,2.6,1.83,5.93,12.56,1.2,8.540917,4.421453
"2025-12-01 12:50:00",36285,14.23,8.73,"NAN","NAN",8.808863,7.176843,6.497217,8.252069,7.203882,4.638269,4.460901,4.448053,4.440759,4.391656,4.348962,11.77762,91.36128,4.635437,11.77247,90.77764,4.406219,251201,133846,4.614,30.7,50.27,32.68,86.76,11.19,0.56,1.69,1.79,1.11,3.98,11.89,18.91,0,2.6,1.828,5.93,12.68,1.2,8.534604,4.426326
"2025-12-01 13:00:00",36286,14.2,9.06,"NAN","NAN",9.506891,7.61413,6.67605,9.084284,7.227655,4.637414,4.462366,4.452844,4.441125,4.400049,4.356317,11.71713,90.87992,4.630264,11.75121,90.6231,4.410248,251201,135346,4.645,30.74,50.29,32.69,89.37,11.52,0.63,1.92,1.79,1.11,3.96,11.84,18.78,0,2.6,1.828,5.94,12.63,1.2,8.535814,4.431452
"2025-12-01 13:10:00",36287,14.24,9.43,"NAN","NAN",8.984064,7.221307,6.804346,9.512018,7.765314,4.696588,4.459711,4.449731,4.424371,4.421594,4.374902,11.75731,91.20265,4.634933,11.74457,90.57832,4.412941,251201,140346,4.655,30.78,50.34,32.72,86.93,11.2,0.68,2.14,1.8,1.12,3.99,11.93,18.94,0,2.59,1.826,5.93,12.62,1.2,8.536975,4.439583
