"Plot Title: CCR_1002"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 21399937, SEN S/N: 21399937)","Temp, °C (LGR S/N: 21399937, SEN S/N: 21399937)","Coupler Detached (LGR S/N: 21399937)","Coupler Attached (LGR S/N: 21399937)","Host Connected (LGR S/N: 21399937)","End Of File (LGR S/N: 21399937)"
1,08/31/26 09:30:00 AM,97.728,20.615,,,,
2,08/31/26 09:30:19 AM,,,Logged,,,
3,08/31/26 09:40:00 AM,97.710,23.677,,,,
4,08/31/26 09:50:00 AM,97.691,24.835,,,,
5,08/31/26 10:00:00 AM,117.280,20.329,,,,
6,08/31/26 10:10:00 AM,121.702,14.709,,,,
7,08/31/26 10:20:00 AM,121.802,13.942,,,,
8,08/31/26 10:30:00 AM,121.333,13.846,,,,
9,08/31/26 10:40:00 AM,117.993,13.750,,,,
10,08/31/26 10:50:00 AM,121.469,13.750,,,,
11,08/31/26 11:00:00 AM,121.733,13.750,,,,
12,08/31/26 11:10:00 AM,121.811,13.750,,,,
13,08/31/26 11:20:00 AM,121.873,13.750,,,,
14,08/31/26 11:30:00 AM,121.873,13.750,,,,
15,08/31/26 11:40:00 AM,121.904,13.750,,,,
16,08/31/26 11:50:00 AM,116.225,13.750,,,,
17,08/31/26 12:00:00 PM,106.609,13.750,,,,
18,08/31/26 12:10:00 PM,119.405,13.750,,,,
19,08/31/26 12:20:00 PM,120.972,13.750,,,,
20,08/31/26 12:30:00 PM,121.314,13.750,,,,
21,08/31/26 12:40:00 PM,121.454,13.750,,,,
22,08/31/26 12:50:00 PM,121.531,13.750,,,,
23,08/31/26 01:00:00 PM,121.578,13.750,,,,
24,08/31/26 01:10:00 PM,121.625,13.750,,,,
25,08/31/26 01:20:00 PM,114.814,13.750,,,,
26,08/31/26 01:30:00 PM,121.298,13.750,,,,
27,08/31/26 01:40:00 PM,121.562,13.750,,,,
28,08/31/26 01:50:00 PM,121.625,13.750,,,,
29,08/31/26 02:00:00 PM,121.656,13.750,,,,
30,08/31/26 02:10:00 PM,121.671,13.750,,,,
31,08/31/26 02:20:00 PM,121.702,13.750,,,,
32,08/31/26 02:30:00 PM,121.702,13.750,,,,
33,08/31/26 02:40:00 PM,121.718,13.750,,,,
34,08/31/26 02:50:00 PM,121.702,13.750,,,,
35,08/31/26 03:00:00 PM,121.733,13.750,,,,
36,08/31/26 03:10:00 PM,113.202,13.750,,,,
37,08/31/26 03:20:00 PM,121.329,13.750,,,,
38,08/31/26 03:30:00 PM,121.625,13.750,,,,
39,08/31/26 03:40:00 PM,121.687,13.750,,,,
40,08/31/26 03:50:00 PM,121.718,13.750,,,,
41,08/31/26 04:00:00 PM,121.733,13.750,,,,
42,08/31/26 04:10:00 PM,121.718,13.750,,,,
43,08/31/26 04:20:00 PM,121.733,13.750,,,,
44,08/31/26 04:30:00 PM,118.924,13.750,,,,
45,08/31/26 04:40:00 PM,121.423,13.750,,,,
46,08/31/26 04:50:00 PM,121.640,13.750,,,,
47,08/31/26 05:00:00 PM,121.702,13.750,,,,
48,08/31/26 05:10:00 PM,121.718,13.750,,,,
49,08/31/26 05:20:00 PM,120.802,13.750,,,,
50,08/31/26 05:30:00 PM,121.547,13.750,,,,
51,08/31/26 05:40:00 PM,121.671,13.750,,,,
52,08/31/26 05:50:00 PM,121.702,13.750,,,,
53,08/31/26 06:00:00 PM,121.733,13.750,,,,
54,08/31/26 06:10:00 PM,121.764,13.750,,,,
55,08/31/26 06:20:00 PM,121.780,13.750,,,,
56,08/31/26 06:30:00 PM,121.780,13.750,,,,
57,08/31/26 06:40:00 PM,121.780,13.750,,,,
58,08/31/26 06:50:00 PM,121.780,13.750,,,,
59,08/31/26 07:00:00 PM,121.811,13.750,,,,
60,08/31/26 07:10:00 PM,121.795,13.750,,,,
61,08/31/26 07:20:00 PM,121.811,13.750,,,,
62,08/31/26 07:30:00 PM,119.110,13.750,,,,
63,08/31/26 07:40:00 PM,121.485,13.750,,,,
64,08/31/26 07:50:00 PM,119.839,13.750,,,,
65,08/31/26 08:00:00 PM,121.454,13.750,,,,
66,08/31/26 08:10:00 PM,121.656,13.750,,,,
67,08/31/26 08:20:00 PM,121.733,13.750,,,,
68,08/31/26 08:30:00 PM,121.780,13.750,,,,
69,08/31/26 08:40:00 PM,121.795,13.750,,,,
70,08/31/26 08:50:00 PM,121.811,13.750,,,,
71,08/31/26 09:00:00 PM,118.380,13.750,,,,
72,08/31/26 09:10:00 PM,121.531,13.750,,,,
73,08/31/26 09:20:00 PM,121.733,13.750,,,,
74,08/31/26 09:30:00 PM,121.811,13.750,,,,
75,08/31/26 09:40:00 PM,121.857,13.750,,,,
76,08/31/26 09:50:00 PM,121.857,13.750,,,,
77,08/31/26 10:00:00 PM,121.873,13.750,,,,
78,08/31/26 10:10:00 PM,121.889,13.750,,,,
79,08/31/26 10:20:00 PM,121.904,13.750,,,,
80,08/31/26 10:30:00 PM,121.920,13.750,,,,
81,08/31/26 10:40:00 PM,121.935,13.750,,,,
82,08/31/26 10:50:00 PM,121.935,13.750,,,,
83,08/31/26 11:00:00 PM,121.951,13.750,,,,
84,08/31/26 11:10:00 PM,121.951,13.750,,,,
85,08/31/26 11:20:00 PM,121.966,13.750,,,,
86,08/31/26 11:30:00 PM,121.982,13.750,,,,
87,08/31/26 11:40:00 PM,122.013,13.750,,,,
88,08/31/26 11:50:00 PM,121.982,13.750,,,,
89,09/01/26 12:00:00 AM,121.997,13.750,,,,
90,09/01/26 12:10:00 AM,122.013,13.750,,,,
91,09/01/26 12:20:00 AM,122.013,13.750,,,,
92,09/01/26 12:30:00 AM,122.028,13.750,,,,
93,09/01/26 12:40:00 AM,122.013,13.750,,,,
94,09/01/26 12:50:00 AM,122.028,13.750,,,,
95,09/01/26 01:00:00 AM,122.028,13.750,,,,
96,09/01/26 01:10:00 AM,122.044,13.750,,,,
97,09/01/26 01:20:00 AM,122.028,13.750,,,,
98,09/01/26 01:30:00 AM,122.044,13.750,,,,
99,09/01/26 01:40:00 AM,122.044,13.750,,,,
100,09/01/26 01:50:00 AM,122.044,13.750,,,,
101,09/01/26 02:00:00 AM,122.059,13.750,,,,
102,09/01/26 02:10:00 AM,122.044,13.750,,,,
103,09/01/26 02:20:00 AM,122.044,13.750,,,,
104,09/01/26 02:30:00 AM,122.059,13.750,,,,
105,09/01/26 02:40:00 AM,122.044,13.750,,,,
106,09/01/26 02:50:00 AM,122.059,13.750,,,,
107,09/01/26 03:00:00 AM,122.059,13.750,,,,
108,09/01/26 03:10:00 AM,122.059,13.750,,,,
109,09/01/26 03:20:00 AM,122.075,13.750,,,,
110,09/01/26 03:30:00 AM,122.075,13.750,,,,
111,09/01/26 03:40:00 AM,122.090,13.750,,,,
112,09/01/26 03:50:00 AM,122.090,13.750,,,,
113,09/01/26 04:00:00 AM,122.075,13.750,,,,
114,09/01/26 04:10:00 AM,122.075,13.750,,,,
115,09/01/26 04:20:00 AM,122.059,13.750,,,,
116,09/01/26 04:30:00 AM,122.075,13.750,,,,
117,09/01/26 04:40:00 AM,122.059,13.750,,,,
118,09/01/26 04:50:00 AM,121.562,13.750,,,,
119,09/01/26 05:00:00 AM,121.935,13.750,,,,
120,09/01/26 05:10:00 AM,121.997,13.750,,,,
121,09/01/26 05:20:00 AM,122.044,13.750,,,,
122,09/01/26 05:30:00 AM,122.059,13.750,,,,
123,09/01/26 05:40:00 AM,122.059,13.750,,,,
124,09/01/26 05:50:00 AM,122.090,13.750,,,,
125,09/01/26 06:00:00 AM,122.075,13.750,,,,
126,09/01/26 06:10:00 AM,122.090,13.750,,,,
127,09/01/26 06:20:00 AM,122.090,13.750,,,,
128,09/01/26 06:30:00 AM,122.121,13.750,,,,
129,09/01/26 06:40:00 AM,122.121,13.750,,,,
130,09/01/26 06:50:00 AM,122.137,13.750,,,,
