"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_surface","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","doobs_5","dosat_5","dotemp_5","doobs_9","dosat_9","dotemp_9","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","Turbidity_FNU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_9"
"2025-01-01 00:00:00",31332,12.26,12.84,4.979852,4.921899,5.018823,4.947443,4.73562,4.703577,4.739038,4.708795,4.667108,4.609491,11.61509,90.52998,4.818611,10.58787,81.97586,4.562233,250101,10149,4.979,23.48,38.01,24.71,91.18,11.65,6.05,26.47,0.9,0.99,6.23,19.12,2.41,3.19,2.25,6.14,10.76,1.19,13.15827,4.59878
"2025-01-01 00:10:00",31333,12.27,12.78,4.952081,4.889947,4.993707,4.959161,4.736902,4.705896,4.745508,4.728082,4.660638,4.608728,11.63421,90.66613,4.813103,10.53469,81.56064,4.56057,250101,11149,4.95,23.49,38.07,24.75,90.79,11.61,8.06,35.23,1,1.09,6.23,19.14,2.43,3.2,2.251,6.15,10.76,1.19,13.16844,4.595993
"2025-01-01 00:20:00",31334,12.26,12.69,4.928644,4.871088,4.963464,4.918054,4.726282,4.709253,4.754236,4.725336,4.653711,4.606592,11.6403,90.71681,4.814453,10.54318,81.6278,4.561241,250101,12149,4.941,23.49,38.08,24.75,90.63,11.59,6.59,28.8,0.77,0.84,6.23,19.13,2.43,3.2,2.252,6.14,10.75,1.19,13.16553,4.594374
"2025-01-01 00:30:00",31335,12.27,12.55,4.927087,4.867548,4.921167,4.879694,4.706537,4.713617,4.752649,4.707849,4.639886,4.603265,11.66018,90.88657,4.820778,10.53485,81.55708,4.55822,250101,13149,4.926,23.5,38.12,24.78,90.38,11.56,7.05,30.82,1.01,1.11,6.25,19.21,2.4,3.2,2.256,6.15,10.77,1.19,13.16404,4.59201
"2025-01-01 00:40:00",31336,12.26,12.41,4.917017,4.855615,4.887598,4.83053,4.683069,4.711053,4.736352,4.67312,4.628046,4.597894,11.64346,90.75622,4.820778,10.56396,81.7525,4.544182,250101,14149,4.918,23.5,38.13,24.78,90.26,11.55,5.78,25.28,0.81,0.88,6.26,19.21,2.34,3.21,2.261,6.14,10.78,1.19,13.14209,4.587817
"2025-01-01 00:50:00",31337,12.27,12.29,4.964593,4.872369,4.869134,4.796258,4.6802,4.707117,4.720331,4.651819,4.619318,4.594812,11.64083,90.71845,4.813446,10.61447,82.13432,4.539993,250101,15149,4.933,23.49,38.09,24.76,90.49,11.58,6.15,26.92,0.73,0.79,6.22,19.1,2.37,3.2,2.258,6.14,10.77,1.19,13.15646,4.584018
"2025-01-01 01:00:00",31338,12.25,12.17,5.000604,4.906518,4.958704,4.785974,4.676996,4.709466,4.682519,4.643732,4.614709,4.590631,11.63593,90.6959,4.820107,10.64569,82.37107,4.537819,250101,20149,4.956,23.49,38.06,24.74,90.71,11.6,7.41,32.39,0.81,0.89,6.22,19.11,2.34,3.2,2.258,6.14,10.75,1.19,13.15976,4.580459
"2025-01-01 01:10:00",31339,12.25,12.06,5.019098,4.936121,4.972925,4.788995,4.686334,4.70849,4.695856,4.648523,4.625116,4.603387,11.64342,90.76844,4.826103,10.68961,82.76483,4.562744,250101,21149,4.969,23.47,38.02,24.71,90.9,11.62,7.61,33.26,0.86,0.94,6.22,19.1,2.31,3.2,2.258,6.15,10.76,1.19,13.17012,4.592024
"2025-01-01 01:20:00",31340,12.26,11.94,5.025445,4.938715,4.990503,4.800073,4.679468,4.708887,4.70672,4.696649,4.638971,4.612512,11.5926,90.38796,4.832779,10.67399,82.64225,4.562073,250101,22149,4.995,23.46,37.97,24.68,91.15,11.64,8.04,35.12,1.17,1.29,6.22,19.09,2.31,3.21,2.259,6.14,10.76,1.19,13.16925,4.604031
"2025-01-01 01:30:00",31341,12.23,11.78,5.01217,4.937036,4.975427,4.81048,4.736383,4.763696,4.791742,4.824487,4.709344,4.619958,11.62103,90.61897,4.836769,10.71018,82.92334,4.562401,250101,23149,4.989,23.46,37.98,24.69,91.09,11.64,6.23,27.25,0.7,0.76,6.22,19.1,2.35,3.2,2.258,6.15,10.75,1.19,13.16669,4.606861
